timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_out,bytes_in,packets_out,packets_in,dns,tls,quic,sensor,sensor_version,suricata_events
2017-07-07T12:02:04.217182+00:00,CFk88g2Ohl22GxtIv7,192.168.10.14,23.50.75.27,49441,80,tcp,0.000104,0,0,2,2,,,,zeek,zeek-native,[]
2017-07-07T12:02:44.141577+00:00,Cgmi3U3g6EDaWLWX2b,192.168.10.25,224.0.0.251,5353,5353,udp,2.758425,4044,0,24,0,"{'query': '_airport._tcp.local', 'qtype_name': 'PTR', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['mdns', 'flow']"
2017-07-07T12:02:37.159004+00:00,CMqGae3cyFCF0dPycg,fe80::baac:6fff:fe36:ba8,ff02::fb,5353,5353,udp,3.8e-05,468,0,12,0,"{'query': '_sane-port._tcp.local', 'qtype_name': 'PTR', 'rcode_name': None}",,,zeek,zeek-native,[]
2017-07-07T12:02:37.159036+00:00,C2a3ijTiX3jVQheB9,192.168.10.51,224.0.0.251,5353,5353,udp,1.6e-05,468,0,12,0,"{'query': '_sane-port._tcp.local', 'qtype_name': 'PTR', 'rcode_name': None}",,,zeek,zeek-native,"['mdns', 'flow']"
2017-07-07T12:02:08.234232+00:00,CoVnUJ20dS7sUY5q43,192.168.10.9,192.168.10.3,137,137,udp,0.000138,136,124,2,2,,,,zeek,zeek-native,['flow']
2017-07-07T12:02:08.978206+00:00,CmuceH20vHshDsbBc6,192.168.10.51,192.168.10.3,10062,53,udp,0.000232,100,200,2,2,"{'query': '_ldap._tcp.dc._msdcs.testbed1.ca', 'qtype_name': 'SRV', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:08.991547+00:00,CWOHw025XiywsVIp99,192.168.10.51,192.168.10.3,14261,53,udp,0.000237,162,262,2,2,"{'query': '_ldap._tcp.default-first-site-name._sites.dc._msdcs.testbed1.ca', 'qtype_name': 'SRV', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:15.163272+00:00,C7QG8Q1dHJvmYTUgwi,192.168.10.5,64.4.27.50,49184,443,tcp,0.589666,1945,4829,10,7,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']"
2017-07-07T12:02:15.699836+00:00,CPfK7Q3sbT6o3EIbQe,192.168.10.5,64.4.27.50,49186,443,tcp,0.588015,1689,4749,10,8,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']"
2017-07-07T12:02:14.526589+00:00,C0OWc724W8xLhr0nS9,192.168.10.5,192.168.10.3,54897,53,udp,0.024079,82,386,2,2,"{'query': 'ctldl.windowsupdate.com', 'qtype_name': 'A', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:14.526838+00:00,CEzEyP2jTm0hNMOGRi,192.168.10.3,192.168.10.1,60235,53,udp,0.023588,47,79,1,1,"{'query': 'a1621.g.akamai.net', 'qtype_name': 'A', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:14.950123+00:00,CF9WVZ2bmYKobbJWa,192.168.10.5,192.168.10.3,63088,53,udp,0.212814,76,228,2,2,"{'query': 'fe2.ws.microsoft.com', 'qtype_name': 'A', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:14.950325+00:00,COYZPasPh4oWOnYpd,192.168.10.3,192.168.10.1,61231,53,udp,0.212376,49,125,1,1,"{'query': 'fe2.ws.microsoft.com', 'qtype_name': 'A', 'rcode_name': 'NOERROR'}",,,zeek,zeek-native,"['dns', 'flow']"
2017-07-07T12:02:15.163292+00:00,COEjs61T4vmIydWqW5,192.168.10.5,64.4.27.50,49185,443,tcp,5.582173,25345,50534,36,44,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']"
2017-07-07T12:02:22.874982+00:00,Cqohoj4lUgm5xIPqai,192.168.10.5,64.4.27.50,49187,443,tcp,0.539117,1769,4829,9,8,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']"
2017-07-07T12:02:23.435801+00:00,Cy9JC241go32LwAhM8,192.168.10.5,64.4.27.50,49188,443,tcp,0.65837,2793,10733,11,11,,"{'version': 'TLSv12', 'cipher': 'TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384', 'server_name': 'fe2.ws.microsoft.com'}",,zeek,zeek-native,"['tls', 'flow']"
